global_amount,global_amount_control,global_peak_time,global_peak_time_control,rio_time,rio_time_control,new_york_time,new_york_time_control,berlin_time,berlin_time_control,moscow_time,moscow_time_control,beijing_time,beijing_time_control,sydney_time,sydney_time_control
290052025.0,44.139748673220275,67,44.139748673220275,20,19.30749191086072,20,19.30749191086072,20,20.300148425965993,20,19.852822599462392,20,19.45380133030427,20,19.80519483211612
294015609.0,43.54789130801339,67,43.54789130801339,20,19.231454530771455,20,19.231454530771455,20,20.251163158358825,20,20.042005699523727,20,19.389141511582103,20,19.852363629250167
287727751.0,44.496398226853756,67,44.496398226853756,20,19.190075251806597,20,19.190075251806597,20,20.36819012185403,20,19.852510540047724,20,19.544825881618156,20,19.84318131569389
290820751.0,44.024145920662825,67,44.024145920662825,20,19.298474061114014,20,19.298474061114014,20,20.308884025459697,20,20.080357951591147,20,19.484374018324104,20,19.81180752842347
291796503.0,43.878911253600464,67,43.878911253600464,20,19.166406087044752,20,19.166406087044752,20,20.312276602205376,20,19.893123717207242,20,19.461895207420618,20,19.712283338505703
294690585.0,43.44597050147489,67,43.44597050147489,20,19.229459659269242,20,19.229459659269242,20,20.32084676870034,20,19.93168491088267,20,19.510890753739083,20,19.656058581541334
291076548.0,43.985357538113085,67,43.985357538113085,20,19.16385485225032,20,19.16385485225032,20,20.293410031716782,20,19.937860984787953,20,19.416784851735787,20,19.735550926666278
292037517.0,43.84777065316442,67,43.84777065316442,20,19.232127075644463,20,19.232127075644463,20,20.36155072558632,20,20.05611117673349,20,19.272202607309715,20,19.85472665190098
290547299.0,44.065358313695526,67,44.065358313695526,20,19.24948306455409,20,19.24948306455409,20,20.26826894472284,20,19.871209927021674,20,19.381484229382448,20,19.819553458151475
291748565.0,43.8844497700082,67,43.8844497700082,20,19.15782395073471,20,19.15782395073471,20,20.493472404206596,20,19.91364897313321,20,19.45386268418349,20,19.834799538463994
