id,latitude,longitude,name,city,country
4325,70.679722,23.668889,Hammerfest Airport,Hammerfest,Norway
4326,70.99,25.83,Valan,Honningsvag,Norway
4327,71.029722,27.826667,Mehamn,Mehamn,Norway
4328,70.065,29.844,Airport,Vadso,Norway
4331,36.234,59.643,Mashhad,Mashhad,Iran
4334,44.523889,129.568889,Mudanjiang,Mudanjiang,China
4335,32.332624,-88.751868,Key Field,Meridian,United States
4338,37.303,-108.628056,Cortez Muni,Cortez,United States
4339,40.481181,-107.21766,Yampa Valley,Hayden,United States
4341,37.044222,-100.95986,Liberal Muni,Liberal,United States
4344,44.520194,-109.023806,Yellowstone Rgnl,Cody,United States
4345,62.18,6.0742,Hovden,Orsta-Volda,Norway
4347,49.919,-6.3075,ISLES OF SCILLY,ST MARY\\'S,United Kingdom
4348,37.245667,-93.388639,Springfield Branson Natl,Springfield,United States
4349,68.435833,17.388056,Framnes,Narvik,Norway
4350,70.866667,29.0,Berlevag,Berlevag,Norway
4352,69.311053,87.332183,Alykel,Norilsk,Russia
4353,45.002097,37.347272,Vityazevo,Anapa,Russia
4354,37.151814,-94.498269,Joplin Rgnl,Joplin,United States
4355,40.652083,-75.440806,Lehigh Valley Intl,Allentown,United States
4356,36.2818694,-94.3068111,NW Arkansas Regional,Bentonville,United States
4357,47.121944,51.821389,Atyrau,Atyrau,Kazakhstan
4358,44.709,65.591,Kzyl-Orda,Kzyl-Orda,Kazakhstan
4359,41.708661,-86.31725,South Bend Rgnl,South Bend,United States
4362,64.360281,40.430167,Talagi,Arkhangelsk,Russia
4363,51.334366,46.022952,Central,Saratov,Russia
4364,66.041811,76.313938,Novyi Urengoy,Novy Urengoy,Russia
4365,63.110079,75.162243,Noyabrsk,Noyabrsk,Russia
4368,63.340297,53.482592,Ukhta,Ukhta,Russia
4369,66.00077,57.221113,Usinsk,Usinsk,Russia
4371,67.380537,53.051016,Naryan-Mar,Naryan-Mar,Russia
4373,62.18,74.53,Kogalym International,Kogalym,Russia
4374,56.18,92.475,Emelyanovo,Krasnoyarsk,Russia
4375,49.670833,73.334444,Sary-Arka,Karaganda,Kazakhstan
4377,60.1,64.83,Uraj,Uraj,Russia
4380,43.5412,125.1201,Changchun,Changchun,China
4381,37.5711,139.0646,Niigata,Niigata,Japan
4384,40.978111,-124.108611,Arcata,Arcata CA,United States
4385,30.31666,-97.7666,Camp Mabry Austin City,Austin TX,United States
4386,34.829164,-77.612139,Albert J Ellis,Jacksonville NC,United States
4388,42.402,-90.709472,Dubuque Rgnl,Dubuque IA,United States
4389,61.392,5.763,Forde Bringeland,Forde,Norway
5404,-8.87333,161.011,Uru Harbour Airport,Atoifi,Solomon Islands
5407,-8.1075,159.577,Fera/Maringe Airport,Fera Island,Solomon Islands
5409,-10.4497,161.898,Ngorangora Airport,Kirakira,Solomon Islands
5410,-10.7203,165.795,Santa Cruz/Graciosa Bay/Luova Airport,Santa Cruz/Graciosa Bay/Luova,Solomon Islands
5411,-8.32797,157.263,Munda Airport,Munda,Solomon Islands
5412,-8.09778,156.864,Nusatupe Airport,Gizo,Solomon Islands
5414,-11.5339,160.063,Rennell/Tingoa Airport,Rennell Island,Solomon Islands
5415,-9.86167,160.825,Marau Airport,Marau,Solomon Islands
5416,-7.58556,158.731,Suavanao Airport,Suavanao,Solomon Islands
5417,-7.333,157.583,Kagau Island Airport,Kagau Island,Solomon Islands
5418,-8.16806,157.643,Ramata Airport,Ramata,Solomon Islands
5419,-5.42232,154.673,Buka Airport,Buka Island,Papua New Guinea
5420,-6.02429,144.971,Chimbu Airport,Kundiawa,Papua New Guinea
5421,-9.08676,143.208,Daru Airport,Daru,Papua New Guinea
5422,-10.3115,150.334,Gurney Airport,Gurney,Papua New Guinea
5423,-8.80454,148.309,Girua Airport,Girua,Papua New Guinea
5424,-5.46217,150.405,Kimbe Airport,Hoskins,Papua New Guinea
5425,-6.12571,141.282,Kiunga Airport,Kiunga,Papua New Guinea
5428,-2.5794,150.808,Kavieng Airport,Kavieng,Papua New Guinea
5429,-6.14774,143.657,Mendi Airport,Mendi,Papua New Guinea
5430,-2.06189,147.424,Momote Airport,Momote,Papua New Guinea
5431,-6.36333,143.238,Moro Airport,Moro,Papua New Guinea
5432,-10.6892,152.838,Misima Island Airport,Misima Island,Papua New Guinea
5433,-5.845,142.948,Tari Airport,Tari,Papua New Guinea
5434,-5.27861,141.226,Tabubil Airport,Tabubil,Papua New Guinea
5435,-4.34046,152.38,Tokua Airport,Tokua,Papua New Guinea
5436,-2.69717,141.302,Vanimo Airport,Vanimo,Papua New Guinea
5437,-5.6433,143.895,Wapenamanda Airport,Wapenamanda,Papua New Guinea
5438,60.4644,-45.5778,Alluitsup Paa Heliport,Alluitsup Paa,Greenland
5439,70.7433,-22.6606,Neerlerit Inaat Airport,Neerlerit Inaat,Greenland
5440,61.9922,-49.6625,Paamiut Heliport,Paamiut,Greenland
5442,60.7158,-46.0294,Qaqortoq Heliport,Qaqortoq,Greenland
5443,65.4125,-52.9394,Maniitsoq Airport,Maniitsoq,Greenland
5444,60.14,-45.2317,Nanortalik Heliport,Nanortalik,Greenland
5445,60.9167,-46.0586,Narsaq Heliport,Narsaq,Greenland
5446,77.4886,-69.3887,Qaanaaq Airport,Qaanaaq,Greenland
5447,66.9513,-53.7293,Sisimiut Airport,Sisimiut,Greenland
5448,72.7902,-56.1306,Upernavik Airport,Upernavik,Greenland
5449,70.7342,-52.6962,Qaarsut Airport,Uummannaq,Greenland
5454,17.7347,-88.0325,Caye Caulker Airport,Caye Caulker,Belize
5455,16.1024,-88.8083,Punta Gorda Airport,Punta Gorda,Belize
5457,52.4525,-125.303,Anahim Lake Airport,Anahim Lake,Canada
5461,54.1797,-58.4575,Rigolet Airport,Rigolet,Canada
5463,63.1317,-117.246,Whatì Airport,Whatì,Canada
5464,52.7086,-88.5419,Summer Beaver Airport,Summer Beaver,Canada
5465,53.8492,-89.5794,Wapekeka Airport,Angling Lake,Canada
5466,52.8939,-89.2892,Wunnumin Lake Airport,Wunnumin Lake,Canada
5467,52.49,-92.9711,North Spirit Lake Airport,North Spirit Lake,Canada
5468,53.9656,-91.0272,Bearskin Lake Airport,Bearskin Lake,Canada
5469,53.0125,-89.8553,Kingfisher Lake Airport,Kingfisher Lake,Canada
5470,51.6586,-85.9017,Ogoki Post Airport,Ogoki Post,Canada
5471,52.1133,-94.2556,Poplar Hill Airport,Poplar Hill,Canada
5472,53.8056,-78.9169,Chisasibi Airport,Chisasibi,Canada
5473,50.6744,-59.3836,Tête-à-la-Baleine Airport,Tête-à-la-Baleine,Canada
5474,50.8308,-58.9756,La Tabatière Airport,La Tabatière,Canada
5475,32.0708,120.976,Nantong Airport,Nantong,China
5476,7.033,-77.2,Apartadó Airport,Apartadó,Colombia
5477,-2.867,-69.733,Tarapacá Airport,Tarapacá,Colombia
5478,51.7272,-91.8244,Cat Lake Airport,Cat Lake,Canada
5479,48.6542,-93.4397,Fort Frances Municipal Airport,Fort Frances,Canada
5480,53.5247,-88.6428,Kasabonika Airport,Kasabonika,Canada
5481,60.0272,-69.9992,Kangirsuk Airport,Kangirsuk,Canada
5482,52.9275,-82.4319,Attawapiskat Airport,Attawapiskat,Canada
5485,51.4436,-57.1853,Lourdes De Blanc Sablon Airport,Lourdes-De-Blanc-Sablon,Canada
5487,63.3469,-90.7311,Chesterfield Inlet Airport,Chesterfield Inlet,Canada
5488,56.5492,-61.6803,Nain Airport,Nain,Canada
5489,56.0189,-87.6761,Fort Severn Airport,Fort Severn,Canada
5490,52.2014,-81.6969,Fort Albany Airport,Fort Albany,Canada
5491,51.5619,-87.9078,Fort Hope Airport,Fort Hope,Canada
5492,55.0769,-59.1864,Makkovik Airport,Makkovik,Canada
5495,69.3647,-81.8161,Igloolik Airport,Igloolik,Canada
5496,55.2819,-77.7653,Kuujjuarapik Airport,Kuujjuarapik,Canada
5497,56.3575,-94.7106,Gillam Airport,Gillam,Canada
5498,76.4261,-82.9092,Grise Fiord Airport,Grise Fiord,Canada
5499,61.0464,-69.6178,Quaqtaq Airport,Quaqtaq,Canada
5501,51.6911,-76.1356,Nemiscau Airport,Nemiscau,Canada
5502,55.4483,-60.2286,Hopedale Airport,Hopedale,Canada
5503,50.4689,-59.6367,Chevery Airport,Chevery,Canada
5504,62.4173,-77.9253,Ivujivik Airport,Ivujivik,Canada
5506,60.8186,-78.1486,Akulivik Airport,Akulivik,Canada
5507,51.4733,-78.7583,Waskaganish Airport,Waskaganish,Canada
5508,59.2967,-69.5997,Aupaluk Airport,Aupaluk,Canada
5509,62.85,-69.8833,Kimmirut Airport,Kimmirut,Canada
5510,52.1956,-87.9342,Lansdowne House Airport,Lansdowne House,Canada
5511,62.4183,-110.682,Lutselk'e Airport,Lutselk'e,Canada
5512,58.7114,-65.9928,Kangiqsualujjuaq (Georges River) Airport,Kangiqsualujjuaq,Canada
5514,49.7719,-74.5281,Chapais Airport,Chibougamau,Canada
5515,56.5361,-76.5183,Umiujaq Airport,Umiujaq,Canada
5516,53.0106,-78.8311,Wemindji Airport,Wemindji,Canada
5520,58.4719,-78.0769,Inukjuak Airport,Inukjuak,Canada
5521,51.8197,-93.9733,Pikangikum Airport,Pikangikum,Canada
5522,54.9881,-85.4433,Peawanuck Airport,Peawanuck,Canada
5523,49.8342,-124.5,Powell River Airport,Powell River,Canada
5524,53.9714,-101.091,The Pas Airport,The Pas,Canada
5526,64.1161,-117.31,Rae Lakes Airport,Gamètì,Canada
5527,51.0669,-93.7931,Red Lake Airport,Red Lake,Canada
5529,56.5378,-79.2467,Sanikiluaq Airport,Sanikiluaq,Canada
5531,53.8178,-89.8969,Big Trout Lake Airport,Big Trout Lake,Canada
5532,52.6558,-94.0614,Deer Lake Airport,Deer Lake,Canada
5533,52.9597,-87.3689,Webequie Airport,Webequie,Canada
5534,62.24,-92.5981,Whale Cove Airport,Whale Cove,Canada
5535,62.1794,-75.6672,Salluit Airport,Salluit,Canada
5538,47.6297,-65.7389,Bathurst Airport,Bathurst,Canada
5539,52.2264,-78.5225,Eastmain River Airport,Eastmain River,Canada
5543,52.2825,-81.6778,Kashechewan Airport,Kashechewan,Canada
5544,53.4414,-91.7628,Muskrat Dam Airport,Muskrat Dam,Canada
5545,54.0275,-132.125,Masset Airport,Masset,Canada
5546,53.8911,-92.1964,Sachigo Lake Airport,Sachigo Lake,Canada
5547,52.9436,-91.3128,Round Lake (Weagamow Lake) Airport,Round Lake,Canada
5548,53.0642,-93.3444,Sandy Lake Airport,Sandy Lake,Canada
5550,53.5619,-64.1064,Churchill Falls Airport,Churchill Falls,Canada
5552,35.752106,6.308589,Batna Airport,Batna,Algeria
5553,31.6457,-2.26986,Béchar Boudghene Ben Ali Lotfi Airport,Béchar,Algeria
5554,21.375,0.923889,Bordj Badji Mokhtar Airport,Bordj Badji Mokhtar,Algeria
5555,33.5114,6.77679,Guemar Airport,Guemar,Algeria
5556,6.71456,-1.59082,Kumasi Airport,Kumasi,Ghana
5557,53.878706,14.152347,Heringsdorf Airport,Heringsdorf,Germany
5562,53.474722,-1.004444,Robin Hood Doncaster Sheffield Airport,"Doncaster, Sheffield",United Kingdom
5563,55.4372,-5.68639,Campbeltown Airport,Campbeltown,United Kingdom
5564,59.1906,-2.77222,Eday Airport,Eday,United Kingdom
5566,59.3675,-2.43444,North Ronaldsay Airport,North Ronaldsay,United Kingdom
5567,59.3517,-2.90028,Papa Westray Airport,Papa Westray,United Kingdom
5568,59.1553,-2.64139,Stronsay Airport,Stronsay,United Kingdom
5569,59.2503,-2.57667,Sanday Airport,Sanday,United Kingdom
5571,59.3503,-2.95,Westray Airport,Westray,United Kingdom
5572,50.1028,-5.67056,Land's End / St. Just Airport,Land's End,United Kingdom
5575,57.0228,-7.44306,Barra Airport,Barra,United Kingdom
5577,55.044192,-8.341,Donegal Airport,Dongloe,Ireland
5580,68.1525,13.6094,Leknes Airport,Leknes,Norway
5581,64.4722,11.5786,Namsos Høknesøra Airport,Namsos,Norway
5582,66.3639,14.3014,Røssvoll Airport,Mo i Rana,Norway
5583,64.8383,11.1461,Ryum Airport,Rørvik,Norway
5584,67.5278,12.1033,Røst Airport,Røst,Norway
5585,61.83,6.10583,Anda Airport,Sandane,Norway
5586,61.1561,7.13778,Sogndal Airport,Sogndal,Norway
5587,68.2433,14.6692,Svolvær Helle Airport,Svolvær,Norway
5588,69.7868,20.9594,Sorkjosen Airport,Sorkjosen,Norway
5589,70.355392,31.044889,Svartnes Airport,Vardø,Norway
5591,53.0968,17.9777,Bydgoszcz Ignacy Jan Paderewski Airport,Bydgoszcz,Poland
5593,63.1944,14.5003,Östersund Airport,Östersund,Sweden
5594,60.020064,13.578908,Hagfors Airport,Hagfors,Sweden
5595,59.4447,13.3374,Karlstad Airport,Karlstad,Sweden
5596,60.157622,12.991269,Torsby Airport,Torsby,Sweden
5597,56.2961,12.8471,Ängelholm-Helsingborg Airport,Ängelholm,Sweden
5599,65.806111,15.082778,Hemavan Airport,Hemavan,Sweden
5601,14.0781,38.2725,Shire Inda Selassie Airport,Shire Indasilase,Ethiopia
5604,-25.3832,31.1056,Kruger Mpumalanga International Airport,Mpumalanga,South Africa
5612,-13.5583,32.5872,Chipata Airport,Chipata,Zambia
5613,-12.1737,26.3651,Solwesi Airport,Solwesi,Zambia
5630,-12.4792,13.4869,Catumbela Airport,Catumbela,Angola
5632,-17.043464,15.683822,Ondjiva Pereira Airport,Ondjiva,Angola
5633,-15.261222,12.146756,Namibe Airport,Mocamedes,Angola
5637,-19.151267,33.428958,Chimoio Airport,Chimoio,Mozambique
5641,-26.6874,15.2429,Luderitz Airport,Luderitz,Namibia
5642,-17.8782,15.9526,Ondangwa Airport,Ondangwa,Namibia
5643,-28.5847,16.4467,Oranjemund Airport,Oranjemund,Namibia
5645,-22.6122,17.0804,Eros Airport,Windhoek,Namibia
5652,-6.43833,20.7947,Tshikapa Airport,Tshikapa,Congo (Kinshasa)
5653,-3.417,23.45,Lodja Airport,Lodja,Congo (Kinshasa)
5659,28.0296,-17.2146,La Gomera Airport,La Gomera,Spain
5665,11.89485,-15.653681,Osvaldo Vieira International Airport,Bissau,Guinea-Bissau
5670,23.7183,-15.932,Dakhla Airport,Dakhla,Western Sahara
5671,31.3975,-9.681667,Mogador Airport,Essadouira,Morocco
5672,27.1517,-13.2192,Hassan I Airport,El Aaiún,Western Sahara
5673,34.9888,-3.02821,El Aroui Airport,El Aroui,Morocco
5674,14.9245,-23.4935,Praia International Airport,"Praia, Santiago Island",Cape Verde
5675,14.885,-24.48,Sao Filipe Airport,"Sao Filipe, Fogo Island",Cape Verde
5680,5.935128,43.578567,Gode Airport,Gode,Ethiopia
5686,11.2753,49.1494,Bosaso Airport,Bosaso,Somalia
5687,2.01444,45.3047,Aden Adde International Airport,Mogadishu,Somalia
5688,6.78083,47.4547,Galcaio Airport,Galcaio,Somalia
5691,27.046508,31.011983,Asyut International Airport,Asyut,Egypt
5692,-2.64505,37.2531,Amboseli Airport,Amboseli National Park,Kenya
5693,4.204117,34.348186,Lokichoggio Airport,Lokichoggio,Kenya
5694,-3.22931,40.1017,Malindi Airport,Malindi,Kenya
5695,-0.067,37.033,Nanyuki Civil Airport,Nanyuki,Kenya
5696,31.0635,16.595,Gardabya Airport,Sirt,Libya
5697,31.861,23.907,Gamal Abdel Nasser Airport,Tobruk,Libya
5699,32.788673,21.964333,La Abraq Airport,Al Bayda',Libya
5701,12.0535,24.9562,Nyala Airport,Nyala,Sudan
5702,19.4336,37.2341,Port Sudan New International Airport,Port Sudan,Sudan
5703,-1.3,31.8,Bukoba Airport,Bukoba,Tanzania
5709,3.05,30.917,Arua Airport,Arua,Uganda
5711,20.7131,70.9211,Diu Airport,Diu,India
5712,26.9487,56.2688,Gheshm Airport,Gheshm,Iran
5714,45.4491,-98.4218,Aberdeen Regional Airport,Aberdeen,United States
5715,31.5355,-84.1945,Southwest Georgia Regional Airport,Albany,United States
5716,33.9486,-83.3263,Athens Ben Epps Airport,Athens,United States
5718,42.5571,-92.4003,Waterloo Regional Airport,Waterloo,United States
5719,46.0949,-118.288,Walla Walla Regional Airport,Walla Walla,United States
5720,45.0781,-83.5603,Alpena County Regional Airport,Alpena,United States
5721,44.914,-97.1547,Watertown Regional Airport,Watertown,United States
5722,41.8031,-78.6401,Bradford Regional Airport,Bradford,United States
5723,41.874,-103.596,Western Nebraska Regional Airport,Scottsbluff,United States
5724,37.7873,-81.1242,Raleigh County Memorial Airport,Beckley,United States
5725,31.2588,-81.4665,Brunswick Golden Isles Airport,Brunswick,United States
